customer_id,customer_name,segment,city,country,state,region,postal_code
GM-14455,Gary Mitchum,Home Office,Houston,United States,Texas,Central,77095
JS-15685,Jim Sink,Corporate,Los Angeles,United States,California,West,90036
KB-16315,Karl Braun,Consumer,Minneapolis,United States,Minnesota,Central,55407
RB-19705,Roger Barcio,Home Office,Portland,United States,Oregon,West,97206
PN-18775,Parhena Norris,Home Office,New York City,United States,New York,East,10009
KD-16345,Katherine Ducich,Consumer,San Francisco,United States,California,West,94122
ER-13855,Elpida Rittenbach,Corporate,Saint Paul,United States,Minnesota,Central,55106
RB-19465,Rick Bensley,Home Office,Chicago,United States,Illinois,Central,60610
GZ-14470,Gary Zandusky,Consumer,Rochester,United States,Minnesota,Central,55901
LC-16870,Lena Cacioppo,Consumer,Aurora,United States,Colorado,West,80013
JM-15250,Janet Martin,Consumer,Charlotte,United States,North Carolina,South,28205
PA-19060,Pete Armstrong,Home Office,Orland Park,United States,Illinois,Central,60462
CV-12805,Cynthia Voltz,Corporate,New York City,United States,New York,East,10035
CL-12565,Clay Ludtke,Consumer,Urbandale,United States,Iowa,Central,50322
RC-19960,Ryan Crowe,Consumer,Columbus,United States,Ohio,East,43229
DK-13090,Dave Kipp,Consumer,Seattle,United States,Washington,West,98103
GG-14650,Greg Guthrie,Corporate,Bristol,United States,Tennessee,South,37620
SC-20725,Steven Cartwright,Consumer,Wilmington,United States,Delaware,East,19805
AD-10180,Alan Dominguez,Home Office,Houston,United States,Texas,Central,77041
PF-19165,Philip Fox,Consumer,Bloomington,United States,Illinois,Central,61701
TS-21610,Troy Staebel,Consumer,Phoenix,United States,Arizona,West,85023
LS-16975,Lindsay Shagiari,Home Office,Los Angeles,United States,California,West,90004
DW-13585,Dorothy Wardle,Corporate,Columbus,United States,Ohio,East,43229
LC-16885,Lena Creighton,Consumer,Roseville,United States,California,West,95661
JD-15895,Jonathan Doherty,Corporate,Philadelphia,United States,Pennsylvania,East,19140
SH-19975,Sally Hughsby,Corporate,San Francisco,United States,California,West,94122
SG-20080,Sandra Glassco,Consumer,Independence,United States,Missouri,Central,64055
HA-14920,Helen Andreada,Consumer,Pasadena,United States,California,West,91104
MG-17680,Maureen Gastineau,Home Office,Newark,United States,Ohio,East,43055
JE-16165,Justin Ellison,Corporate,Franklin,United States,Wisconsin,Central,53132
TW-21025,Tamara Willingham,Home Office,Scottsdale,United States,Arizona,West,85254
SP-20650,Stephanie Phelps,Corporate,San Jose,United States,California,West,95123
NK-18490,Neil Knudson,Home Office,Seattle,United States,Washington,West,98105
DB-13060,Dave Brooks,Consumer,Seattle,United States,Washington,West,98115
NP-18670,Nora Paige,Consumer,Edmond,United States,Oklahoma,Central,73034
TT-21070,Ted Trevino,Consumer,Los Angeles,United States,California,West,90045
EM-13960,Eric Murdock,Consumer,Philadelphia,United States,Pennsylvania,East,19134
RD-19900,Ruben Dartt,Consumer,Carlsbad,United States,New Mexico,West,88220
MJ-17740,Max Jones,Consumer,Seattle,United States,Washington,West,98115
BM-11140,Becky Martin,Consumer,San Antonio,United States,Texas,Central,78207
CS-12130,Chad Sievert,Consumer,Los Angeles,United States,California,West,90004
JB-15400,Jennifer Braxton,Corporate,Chicago,United States,Illinois,Central,60623
SJ-20500,Shirley Jackson,Consumer,Houston,United States,Texas,Central,77036
JK-15640,Jim Kriz,Home Office,New York City,United States,New York,East,10009
DK-13150,David Kendrick,Corporate,Decatur,United States,Illinois,Central,62521
RM-19675,Robert Marley,Home Office,Monroe,United States,Louisiana,South,71203
SK-19990,Sally Knutson,Consumer,Fairfield,United States,Connecticut,East,6824
FM-14290,Frank Merwin,Home Office,Los Angeles,United States,California,West,90032
AM-10360,Alice McCarthy,Corporate,Grand Prairie,United States,Texas,Central,75051
MP-17470,Mark Packer,Home Office,New York City,United States,New York,East,10035
MZ-17515,Mary Zewe,Corporate,Redlands,United States,California,West,92374
CB-12025,Cassandra Brandow,Consumer,Hamilton,United States,Ohio,East,45011
VM-21685,Valerie Mitchum,Home Office,Westfield,United States,New Jersey,East,7090
FH-14365,Fred Hopkins,Corporate,Philadelphia,United States,Pennsylvania,East,19120
MB-17305,Maria Bertelson,Consumer,Akron,United States,Ohio,East,44312
BS-11755,Bruce Stewart,Consumer,Denver,United States,Colorado,West,80219
LC-17140,Logan Currie,Consumer,Dallas,United States,Texas,Central,75220
HK-14890,Heather Kirkland,Corporate,Franklin,United States,Tennessee,South,37064
LE-16810,Laurel Elliston,Consumer,Whittier,United States,California,West,90604
JH-15985,Joseph Holt,Consumer,Saginaw,United States,Michigan,Central,48601
MS-17980,Michael Stewart,Corporate,Dallas,United States,Texas,Central,75220
VW-21775,Victoria Wilson,Corporate,Medina,United States,Ohio,East,44256
JH-15910,Jonathan Howell,Consumer,Los Angeles,United States,California,West,90032
JB-15925,Joni Blumstein,Consumer,Dublin,United States,Ohio,East,43017
DS-13180,David Smith,Corporate,Detroit,United States,Michigan,Central,48227
VD-21670,Valerie Dominguez,Consumer,Columbia,United States,Tennessee,South,38401
EA-14035,Erin Ashbrook,Corporate,Charlotte,United States,North Carolina,South,28205
DB-13120,David Bremer,Corporate,Santa Clara,United States,California,West,95051
KL-16645,Ken Lonsdale,Consumer,Chicago,United States,Illinois,Central,60610
DW-13480,Dianna Wilson,Home Office,Lakeville,United States,Minnesota,Central,55044
LH-17155,Logan Haushalter,Consumer,San Francisco,United States,California,West,94109
KC-16540,Kelly Collister,Consumer,San Diego,United States,California,West,92037
DL-13315,Delfina Latchford,Consumer,New York City,United States,New York,East,10024
DR-12880,Dan Reichenbach,Corporate,Chicago,United States,Illinois,Central,60623
CC-12670,Craig Carreira,Consumer,New York City,United States,New York,East,10009
Dl-13600,Dorris liebe,Corporate,Pasadena,United States,Texas,Central,77506
SB-20290,Sean Braxton,Corporate,Houston,United States,Texas,Central,77036
RC-19825,Roy Collins,Consumer,Chicago,United States,Illinois,Central,60610
AH-10210,Alan Hwang,Consumer,Brentwood,United States,California,West,94513
CB-12535,Claudia Bergmann,Corporate,Chapel Hill,United States,North Carolina,South,27514
CA-12310,Christine Abelman,Corporate,Cincinnati,United States,Ohio,East,45231
KH-16690,Kristen Hastings,Corporate,San Francisco,United States,California,West,94110
BB-10990,Barry Blumstein,Corporate,Inglewood,United States,California,West,90301
AG-10495,Andrew Gjertsen,Corporate,Philadelphia,United States,Pennsylvania,East,19140
JO-15280,Jas O'Carroll,Consumer,Los Angeles,United States,California,West,90004
AH-10195,Alan Haines,Corporate,Tamarac,United States,Florida,South,33319
NZ-18565,Nick Zandusky,Home Office,Columbus,United States,Ohio,East,43229
KL-16555,Kelly Lampkin,Corporate,Colorado Springs,United States,Colorado,West,80906
AS-10225,Alan Schoenberger,Corporate,New York City,United States,New York,East,10024
CR-12625,Corey Roper,Home Office,Lakewood,United States,New Jersey,East,8701
SH-20395,Shahid Hopkins,Consumer,Arlington,United States,Virginia,South,22204
BP-11185,Ben Peterman,Corporate,Arvada,United States,Colorado,West,80004
TS-21205,Thomas Seio,Corporate,Hackensack,United States,New Jersey,East,7601
AG-10525,Andy Gerbode,Corporate,Saint Petersburg,United States,Florida,South,33710
SP-20860,Sung Pak,Corporate,Philadelphia,United States,Pennsylvania,East,19143
NM-18445,Nathan Mautz,Home Office,New York City,United States,New York,East,10024
FA-14230,Frank Atkinson,Corporate,Long Beach,United States,California,West,90805
GK-14620,Grace Kelly,Corporate,Hesperia,United States,California,West,92345
DJ-13510,Don Jones,Corporate,Murfreesboro,United States,Tennessee,South,37130
PO-18850,Patrick O'Brill,Consumer,Philadelphia,United States,Pennsylvania,East,19143
JL-15850,John Lucas,Consumer,Philadelphia,United States,Pennsylvania,East,19134
DB-13615,Doug Bickford,Consumer,Los Angeles,United States,California,West,90045
AC-10420,Alyssa Crouse,Corporate,San Francisco,United States,California,West,94122
CC-12550,Clay Cheatham,Consumer,San Francisco,United States,California,West,94122
TD-20995,Tamara Dahlen,Consumer,Lowell,United States,Massachusetts,East,1852
AB-10060,Adam Bellavance,Home Office,New York City,United States,New York,East,10009
JL-15505,Jeremy Lonsdale,Consumer,New York City,United States,New York,East,10035
VB-21745,Victoria Brennan,Corporate,Columbus,United States,Georgia,South,31907
KW-16435,Katrina Willman,Consumer,New York City,United States,New York,East,10009
JD-16060,Julia Dunbar,Consumer,San Francisco,United States,California,West,94109
MK-17905,Michael Kennedy,Corporate,Manchester,United States,Connecticut,East,6040
GT-14755,Guy Thornton,Consumer,Harlingen,United States,Texas,Central,78550
AG-10900,Arthur Gainer,Consumer,Tucson,United States,Arizona,West,85705
MM-18280,Muhammed MacIntyre,Corporate,Quincy,United States,Illinois,Central,62301
AR-10405,Allen Rosenblatt,Corporate,Franklin,United States,Massachusetts,East,2038
RA-19915,Russell Applegate,Consumer,Houston,United States,Texas,Central,77095
AS-10285,Alejandro Savely,Corporate,San Francisco,United States,California,West,94109
LA-16780,Laura Armstrong,Corporate,Taylor,United States,Michigan,Central,48180
DO-13435,Denny Ordway,Consumer,Pembroke Pines,United States,Florida,South,33024
DK-13225,Dean Katz,Corporate,Philadelphia,United States,Pennsylvania,East,19140
NG-18430,Nathan Gelder,Consumer,Cincinnati,United States,Ohio,East,45231
MV-18190,Mike Vittorini,Consumer,New York City,United States,New York,East,10009
JG-15115,Jack Garza,Consumer,Des Moines,United States,Washington,West,98198
BP-11095,Bart Pistole,Corporate,Peoria,United States,Illinois,Central,61604
VP-21730,Victor Preis,Home Office,Las Vegas,United States,Nevada,West,89115
SS-20140,Saphhira Shifley,Corporate,Warwick,United States,Rhode Island,East,2886
AG-10675,Anna Gayman,Consumer,Houston,United States,Texas,Central,77036
LF-17185,Luke Foster,Consumer,Miami,United States,Florida,South,33180
RF-19840,Roy Französisch,Consumer,New York City,United States,New York,East,10024
KH-16510,Keith Herrera,Consumer,San Francisco,United States,California,West,94110
KC-16675,Kimberly Carter,Corporate,Seattle,United States,Washington,West,98105
CJ-12010,Caroline Jumper,Consumer,Huntington Beach,United States,California,West,92646
PB-19150,Philip Brown,Consumer,Los Angeles,United States,California,West,90004
MP-17965,Michael Paige,Corporate,Lawrence,United States,Massachusetts,East,1841
NF-18385,Natalie Fritzler,Consumer,Jackson,United States,Mississippi,South,39212
SD-20485,Shirley Daniels,Home Office,New Rochelle,United States,New York,East,10801
KH-16630,Ken Heidel,Corporate,San Antonio,United States,Texas,Central,78207
RB-19795,Ross Baird,Home Office,Gastonia,United States,North Carolina,South,28052
MK-18160,Mike Kennedy,Consumer,Jacksonville,United States,Florida,South,32216
PO-19180,Philisse Overcash,Home Office,Chicago,United States,Illinois,Central,60623
BB-11545,Brenda Bowman,Corporate,Houston,United States,Texas,Central,77070
TB-21595,Troy Blackwell,Consumer,Columbus,United States,Indiana,Central,47201
RB-19360,Raymond Buch,Consumer,Auburn,United States,New York,East,13021
EB-13705,Ed Braxton,Corporate,Akron,United States,Ohio,East,44312
SC-20095,Sanjit Chand,Consumer,Concord,United States,California,West,94521
TN-21040,Tanja Norvell,Home Office,Phoenix,United States,Arizona,West,85023
JS-15940,Joni Sundaresam,Home Office,Park Ridge,United States,Illinois,Central,60068
MH-17785,Maya Herman,Corporate,Lindenhurst,United States,New York,East,11757
JP-15520,Jeremy Pistek,Consumer,San Francisco,United States,California,West,94110
JE-15475,Jeremy Ellison,Consumer,Troy,United States,New York,East,12180
JG-15805,John Grady,Corporate,New York City,United States,New York,East,10024
XP-21865,Xylona Preis,Consumer,San Diego,United States,California,West,92024
EM-14065,Erin Mull,Consumer,New York City,United States,New York,East,10024
MT-18070,Michelle Tran,Home Office,Los Angeles,United States,California,West,90045
SA-20830,Sue Ann Reed,Consumer,Chicago,United States,Illinois,Central,60610
CW-11905,Carl Weiss,Home Office,Huntsville,United States,Texas,Central,77340
AJ-10960,Astrea Jones,Consumer,Rochester,United States,New York,East,14609
SS-20590,Sonia Sunley,Consumer,Seattle,United States,Washington,West,98115
RO-19780,Rose O'Brian,Consumer,Memphis,United States,Tennessee,South,38109
MD-17350,Maribeth Dona,Consumer,Fayetteville,United States,Arkansas,South,72701
MY-17380,Maribeth Yedwab,Corporate,Parker,United States,Colorado,West,80134
CM-12385,Christopher Martinez,Consumer,Atlanta,United States,Georgia,South,30318
LS-17245,Lynn Smith,Consumer,Gladstone,United States,Missouri,Central,64118
BN-11515,Bradley Nguyen,Consumer,Los Angeles,United States,California,West,90049
DB-13210,Dean Braden,Consumer,Houston,United States,Texas,Central,77041
MC-17605,Matt Connell,Corporate,Detroit,United States,Michigan,Central,48234
BD-11605,Brian Dahlen,Consumer,Lawrence,United States,Massachusetts,East,1841
PH-18790,Patricia Hirasaki,Home Office,Lakeland,United States,Florida,South,33801
MG-18145,Mike Gockenbach,Consumer,Philadelphia,United States,Pennsylvania,East,19134
KB-16240,Karen Bern,Corporate,Los Angeles,United States,California,West,90036
JC-15340,Jasper Cacioppo,Consumer,Los Angeles,United States,California,West,90032
RL-19615,Rob Lucas,Consumer,Montgomery,United States,Alabama,South,36116
AA-10375,Allen Armold,Consumer,Mesa,United States,Arizona,West,85204
EP-13915,Emily Phan,Consumer,Chicago,United States,Illinois,Central,60653
DK-12985,Darren Koutras,Consumer,Henderson,United States,Kentucky,South,42420
BD-11500,Bradley Drucker,Consumer,Green Bay,United States,Wisconsin,Central,54302
LM-17065,Liz MacKendrick,Consumer,Springfield,United States,Ohio,East,45503
AS-10135,Adrian Shami,Home Office,New York City,United States,New York,East,10035
BD-11320,Bill Donatelli,Consumer,San Francisco,United States,California,West,94110
GT-14710,Greg Tran,Consumer,Houston,United States,Texas,Central,77070
AJ-10945,Ashley Jarboe,Consumer,Wilmington,United States,North Carolina,South,28403
OT-18730,Olvera Toch,Consumer,Los Angeles,United States,California,West,90045
LP-17080,Liz Pelletier,Consumer,San Francisco,United States,California,West,94110
CA-12775,Cynthia Arntzen,Consumer,Tampa,United States,Florida,South,33614
JF-15490,Jeremy Farry,Consumer,Seattle,United States,Washington,West,98105
FP-14320,Frank Preis,Consumer,Los Angeles,United States,California,West,90008
EB-13840,Ellis Ballard,Corporate,Seattle,United States,Washington,West,98105
JF-15415,Jennifer Ferguson,Consumer,New York City,United States,New York,East,10024
SF-20200,Sarah Foster,Consumer,Marysville,United States,Washington,West,98270
TG-21640,Trudy Glocke,Consumer,Long Beach,United States,California,West,90805
CS-11950,Carlos Soltero,Consumer,Chicago,United States,Illinois,Central,60610
CC-12145,Charles Crestani,Consumer,Los Angeles,United States,California,West,90004
DV-13465,Dianna Vittorini,Consumer,Denver,United States,Colorado,West,80219
BD-11725,Bruce Degenhardt,Consumer,Richmond,United States,Kentucky,South,40475
ZC-21910,Zuschuss Carroll,Consumer,Salem,United States,Oregon,West,97301
MS-17830,Melanie Seite,Consumer,Laredo,United States,Texas,Central,78041
LR-16915,Lena Radford,Consumer,San Diego,United States,California,West,92024
TP-21130,Theone Pippenger,Consumer,Philadelphia,United States,Pennsylvania,East,19134
CK-12205,Chloris Kastensmidt,Consumer,Philadelphia,United States,Pennsylvania,East,19120
AS-10240,Alan Shonely,Consumer,Tampa,United States,Florida,South,33614
AR-10510,Andrew Roberts,Consumer,Philadelphia,United States,Pennsylvania,East,19134
NB-18655,Nona Balk,Corporate,Dallas,United States,Texas,Central,75217
GD-14590,Giulietta Dortch,Corporate,Philadelphia,United States,Pennsylvania,East,19143
CK-12595,Clytie Kelty,Consumer,Grove City,United States,Ohio,East,43123
NG-18355,Nat Gilpin,Corporate,New York City,United States,New York,East,10011
CA-12265,Christina Anderson,Consumer,Chicago,United States,Illinois,Central,60610
SF-20965,Sylvia Foulston,Corporate,Dearborn,United States,Michigan,Central,48126
MO-17800,Meg O'Connel,Home Office,New York City,United States,New York,East,10009
AT-10735,Annie Thurman,Consumer,Seattle,United States,Washington,West,98115
FM-14380,Fred McMath,Consumer,Aurora,United States,Colorado,West,80013
DJ-13420,Denny Joy,Corporate,Warner Robins,United States,Georgia,South,31088
ME-17725,Max Engle,Consumer,Aurora,United States,Colorado,West,80013
JD-16150,Justin Deggeller,Corporate,Minneapolis,United States,Minnesota,Central,55407
JL-15835,John Lee,Consumer,Mission Viejo,United States,California,West,92691
SC-20305,Sean Christensen,Consumer,Rochester Hills,United States,Michigan,Central,48307
CC-12430,Chuck Clark,Home Office,Columbus,United States,Indiana,Central,47201
AR-10825,Anthony Rawles,Corporate,Vancouver,United States,Washington,West,98661
SR-20740,Steven Roelle,Home Office,New York City,United States,New York,East,10024
CR-12730,Craig Reiter,Consumer,Columbus,United States,Ohio,East,43229
EH-14125,Eugene Hildebrand,Home Office,Aurora,United States,Illinois,Central,60505
SP-20545,Sibella Parks,Corporate,New York City,United States,New York,East,10011
TH-21235,Tiffany House,Corporate,Dallas,United States,Texas,Central,75081
RP-19390,Resi Pölking,Consumer,Cleveland,United States,Ohio,East,44105
RB-19570,Rob Beeghly,Consumer,Columbus,United States,Indiana,Central,47201
CD-11980,Carol Darley,Consumer,Tyler,United States,Texas,Central,75701
DJ-13630,Doug Jacobs,Consumer,New York City,United States,New York,East,10024
GT-14635,Grant Thornton,Corporate,Burlington,United States,North Carolina,South,27217
MC-17845,Michael Chen,Consumer,Jackson,United States,Mississippi,South,39212
RA-19285,Ralph Arnett,Consumer,New York City,United States,New York,East,10035
NP-18325,Naresj Patel,Consumer,Waynesboro,United States,Virginia,South,22980
AB-10165,Alan Barnes,Consumer,Los Angeles,United States,California,West,90036
JO-15550,Jesus Ocampo,Home Office,Chester,United States,Pennsylvania,East,19013
JK-15370,Jay Kimmel,Consumer,Long Beach,United States,California,West,90805
BN-11470,Brad Norvell,Corporate,Cary,United States,North Carolina,South,27511
DP-13165,David Philippe,Consumer,New York City,United States,New York,East,10035
TH-21550,Tracy Hopkins,Home Office,New York City,United States,New York,East,10035
AP-10915,Arthur Prichep,Consumer,Palm Coast,United States,Florida,South,32137
RS-19765,Roland Schwarz,Corporate,Mount Vernon,United States,New York,East,10550
SV-20365,Seth Vernon,Consumer,Dover,United States,Delaware,East,19901
CK-12325,Christine Kargatis,Home Office,Orem,United States,Utah,West,84057
RD-19810,Ross DeVincentis,Home Office,Los Angeles,United States,California,West,90045
MR-17545,Mathew Reese,Home Office,Philadelphia,United States,Pennsylvania,East,19140
SC-20695,Steve Chapman,Corporate,Hialeah,United States,Florida,South,33012
JF-15355,Jay Fein,Consumer,Austin,United States,Texas,Central,78745
EG-13900,Emily Grady,Consumer,Oceanside,United States,New York,East,11572
DS-13030,Darrin Sayre,Home Office,Seattle,United States,Washington,West,98115
PO-19195,Phillina Ober,Home Office,Naperville,United States,Illinois,Central,60540
SS-20875,Sung Shariari,Consumer,Dallas,United States,Texas,Central,75220
PB-19105,Peter Bühler,Consumer,Evanston,United States,Illinois,Central,60201
RF-19735,Roland Fjeld,Consumer,Trenton,United States,Michigan,Central,48183
YC-21895,Yoseph Carroll,Corporate,San Francisco,United States,California,West,94110
DC-13285,Debra Catini,Consumer,Cottage Grove,United States,Minnesota,Central,55016
CP-12340,Christine Phan,Corporate,New York City,United States,New York,East,10009
BF-11020,Barry Französisch,Corporate,Green Bay,United States,Wisconsin,Central,54302
LH-17020,Lisa Hazard,Consumer,Columbus,United States,Ohio,East,43229
CS-12250,Chris Selesnick,Corporate,Bossier City,United States,Louisiana,South,71111
AJ-10795,Anthony Johnson,Corporate,Saint Petersburg,United States,Florida,South,33710
BV-11245,Benjamin Venier,Corporate,Des Moines,United States,Iowa,Central,50315
DL-12865,Dan Lawera,Consumer,Cincinnati,United States,Ohio,East,45231
BM-11785,Bryan Mills,Consumer,Columbus,United States,Ohio,East,43229
LT-17110,Liz Thompson,Consumer,Lancaster,United States,California,West,93534
JK-15730,Joe Kamberova,Consumer,Asheville,United States,North Carolina,South,28806
ES-14020,Erica Smith,Consumer,San Francisco,United States,California,West,94110
RH-19495,Rick Hansen,Consumer,Rochester,United States,Minnesota,Central,55901
CD-11920,Carlos Daly,Consumer,Lake Elsinore,United States,California,West,92530
HW-14935,Helen Wasserman,Corporate,San Diego,United States,California,West,92105
MC-18130,Mike Caudle,Corporate,Monroe,United States,Louisiana,South,71203
GM-14440,Gary McGarr,Consumer,San Francisco,United States,California,West,94122
PJ-19015,Pauline Johnson,Consumer,Santa Ana,United States,California,West,92704
BW-11110,Bart Watters,Corporate,Milwaukee,United States,Wisconsin,Central,53209
TR-21325,Toby Ritter,Consumer,Belleville,United States,New Jersey,East,7109
PG-18820,Patrick Gardner,Consumer,San Francisco,United States,California,West,94110
JL-15175,James Lanier,Home Office,Columbia,United States,Tennessee,South,38401
BM-11650,Brian Moss,Corporate,New York City,United States,New York,East,10035
EM-14095,Eudokia Martin,Corporate,Los Angeles,United States,California,West,90036
AF-10885,Art Foster,Consumer,Louisville,United States,Kentucky,South,40214
GA-14725,Guy Armstrong,Consumer,Lorain,United States,Ohio,East,44052
CK-12760,Cyma Kinney,Corporate,Linden,United States,New Jersey,East,7036
DP-13105,Dave Poirier,Corporate,Salinas,United States,California,West,93905
BK-11260,Berenike Kampe,Consumer,New York City,United States,New York,East,10035
SJ-20125,Sanjit Jacobs,Home Office,New Brunswick,United States,New Jersey,East,8901
CM-12445,Chuck Magee,Consumer,San Francisco,United States,California,West,94122
AJ-10780,Anthony Jacobs,Corporate,Springfield,United States,Virginia,South,22153
LS-16945,Linda Southworth,Corporate,Philadelphia,United States,Pennsylvania,East,19140
GP-14740,Guy Phonely,Corporate,Lancaster,United States,Pennsylvania,East,17602
PK-18910,Paul Knutson,Home Office,Philadelphia,United States,Pennsylvania,East,19143
SM-20005,Sally Matthias,Consumer,New York City,United States,New York,East,10009
AG-10765,Anthony Garverick,Home Office,Philadelphia,United States,Pennsylvania,East,19120
PM-19135,Peter McVee,Home Office,Detroit,United States,Michigan,Central,48227
LL-16840,Lauren Leatherbury,Consumer,Rochester,United States,New York,East,14609
JS-15595,Jill Stevenson,Corporate,Los Angeles,United States,California,West,90045
EL-13735,Ed Ludwig,Home Office,Columbia,United States,Maryland,East,21044
PC-18745,Pamela Coakley,Corporate,San Francisco,United States,California,West,94122
HL-15040,Hunter Lopez,Consumer,Houston,United States,Texas,Central,77095
MS-17365,Maribeth Schnelling,Consumer,Detroit,United States,Michigan,Central,48227
GB-14530,George Bell,Corporate,Auburn,United States,New York,East,13021
JR-16210,Justin Ritter,Corporate,Springfield,United States,Ohio,East,45503
BE-11335,Bill Eplett,Home Office,Jackson,United States,Michigan,Central,49201
SC-20050,Sample Company A,Home Office,Norwich,United States,Connecticut,East,6360
RW-19630,Rob Williams,Corporate,Dallas,United States,Texas,Central,75220
SE-20110,Sanjit Engle,Consumer,New York City,United States,New York,East,10009
AH-10075,Adam Hart,Corporate,New York City,United States,New York,East,10011
JM-15535,Jessica Myrick,Consumer,Philadelphia,United States,Pennsylvania,East,19143
JJ-15760,Joel Jenkins,Home Office,Springfield,United States,Virginia,South,22153
RK-19300,Ralph Kennedy,Consumer,Philadelphia,United States,Pennsylvania,East,19140
CG-12040,Catherine Glotzbach,Home Office,Philadelphia,United States,Pennsylvania,East,19120
RP-19270,Rachel Payne,Corporate,Riverside,United States,California,West,92503
KC-16255,Karen Carlisle,Corporate,San Francisco,United States,California,West,94110
KH-16360,Katherine Hughes,Consumer,Philadelphia,United States,Pennsylvania,East,19143
GH-14665,Greg Hansen,Consumer,Round Rock,United States,Texas,Central,78664
SW-20275,Scott Williamson,Consumer,Jackson,United States,Mississippi,South,39212
JA-15970,Joseph Airdo,Consumer,Phoenix,United States,Arizona,West,85023
DL-12925,Daniel Lacy,Consumer,Oceanside,United States,California,West,92054
LW-16990,Lindsay Williams,Corporate,San Francisco,United States,California,West,94110
TB-21190,Thomas Brumley,Home Office,Fayetteville,United States,Arkansas,South,72701
BS-11800,Bryan Spruell,Home Office,New York City,United States,New York,East,10011
RW-19690,Robert Waldorf,Consumer,Wilmington,United States,North Carolina,South,28403
TZ-21580,Tracy Zic,Consumer,Louisville,United States,Colorado,West,80027
AS-10630,Ann Steele,Home Office,Pasadena,United States,Texas,Central,77506
TS-21340,Toby Swindell,Consumer,Houston,United States,Texas,Central,77041
SL-20155,Sara Luxemburg,Home Office,Jacksonville,United States,Florida,South,32216
MW-18235,Mitch Willingham,Corporate,Virginia Beach,United States,Virginia,South,23464
RD-19585,Rob Dowd,Consumer,Henderson,United States,Kentucky,South,42420
RA-19945,Ryan Akin,Consumer,Murrieta,United States,California,West,92563
MT-17815,Meg Tillman,Consumer,Scottsdale,United States,Arizona,West,85254
VG-21790,Vivek Gonzalez,Consumer,San Diego,United States,California,West,92037
JS-15880,John Stevenson,Consumer,Seattle,United States,Washington,West,98103
KM-16225,Kalyca Meade,Corporate,New York City,United States,New York,East,10011
HR-14770,Hallie Redmond,Home Office,Los Angeles,United States,California,West,90045
DE-13255,Deanra Eno,Home Office,Springfield,United States,Ohio,East,45503
